"Game #","Division","Pool","Team 1","Team 1 Score","Team 2 Score","Team 2","Match Type","Date","Time","Venue","SubVenue"
"1","18U","Pool 2","Riverside Royals","3","9","West Mountain Cougars","","May 30, 2025","02:00 PM","Central Park","Central Park"
"4","18U","Pool 2","Thorold Athletics","2","22","London Nationals","","May 30, 2025","05:00 PM","Central Park","Central Park"
"3","18U","Pool 3","DKMB Rivercats","10","0","Brampton Royals","","May 30, 2025","05:00 PM","Mic Mac Park","Mic Mac Park (Cullen Field)"
"2","18U","Pool 1","Leamington Lakers","16","1","London Talons","","May 30, 2025","05:00 PM","Mic Mac Park","Mic Mac Park (Soulliere Field)"
"6","18U","Pool 3","Forest Glade Falcons","15","1","Burlington Bears","","May 30, 2025","07:30 PM","Mic Mac Park","Mic Mac Park (Cullen Field)"
"5","18U","Pool 1","Whitby Canadiens","1","15","Guelph Royals","","May 30, 2025","07:30 PM","Mic Mac Park","Mic Mac Park (Soulliere Field)"
"8","18U","Pool 2","London Nationals","4","6","West Mountain Cougars","","May 31, 2025","09:00 AM","Mic Mac Park","Mic Mac Park (Cullen Field)"
"7","18U","Pool 1","London Talons","15","5","Whitby Canadiens","","May 31, 2025","09:00 AM","Mic Mac Park","Mic Mac Park (Soulliere Field)"
"9","18U","Pool 1","Leamington Lakers","12","6","Guelph Royals","","May 31, 2025","11:30 AM","Central Park","Central Park"
"11","18U","Pool 3","Brampton Royals","2","13","Burlington Bears","","May 31, 2025","11:30 AM","Mic Mac Park","Mic Mac Park (Cullen Field)"
"10","18U","Pool 2","Riverside Royals","14","0","Thorold Athletics","","May 31, 2025","11:30 AM","Mic Mac Park","Mic Mac Park (Soulliere Field)"
"12","18U","Pool 1","Guelph Royals","6","9","London Talons","","May 31, 2025","02:00 PM","Central Park","Central Park"
"14","18U","Pool 3","Forest Glade Falcons","15","1","DKMB Rivercats","","May 31, 2025","02:00 PM","Mic Mac Park","Mic Mac Park (Cullen Field)"
"13","18U","Pool 2","Riverside Royals","6","9","London Nationals","","May 31, 2025","02:00 PM","Mic Mac Park","Mic Mac Park (Soulliere Field)"
"16","18U","Pool 3","Burlington Bears","2","8","DKMB Rivercats","","May 31, 2025","04:30 PM","Mic Mac Park","Mic Mac Park (Cullen Field)"
"15","18U","Pool 1","Leamington Lakers","16","1","Whitby Canadiens","","May 31, 2025","04:30 PM","Mic Mac Park","Mic Mac Park (Soulliere Field)"
"17","18U","Pool 3","Forest Glade Falcons","18","3","Brampton Royals","","May 31, 2025","07:00 PM","Mic Mac Park","Mic Mac Park (Cullen Field)"
"18","18U","Pool 2","West Mountain Cougars","15","6","Thorold Athletics","","May 31, 2025","07:00 PM","Mic Mac Park","Mic Mac Park (Soulliere Field)"
"19","18U","","London Nationals","8","3","DKMB Rivercats","playoff","June 01, 2025","09:00 AM","Mic Mac Park","Mic Mac Park (Cullen Field)"
"20","18U","","West Mountain Cougars","11","3","London Talons","playoff","June 01, 2025","09:00 AM","Mic Mac Park","Mic Mac Park (Soulliere Field)"
"21","18U","","Forest Glade Falcons","14","3","London Nationals","playoff","June 01, 2025","11:30 AM","Mic Mac Park","Mic Mac Park (Cullen Field)"
"22","18U","","West Mountain Cougars","7","10","Leamington Lakers","playoff","June 01, 2025","11:30 AM","Mic Mac Park","Mic Mac Park (Soulliere Field)"
"23","18U","","Forest Glade Falcons","4","1","Leamington Lakers","playoff","June 01, 2025","02:30 PM","Mic Mac Park","Mic Mac Park (Cullen Field)"
